,サウナ名,イキタイ,サ活,target,男サウナ,男水風呂,女サウナ,女水風呂,男ロウリュ,男オート,男セルフ,男外気浴,男休憩,男イオン,女ロウリュ,女オート,女セルフ,女外気浴,女休憩,女イオン
2713,七福温泉,0,0,対象：-,-,-,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
2714,ゑびす湯,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2715,美湯松帆の郷,3,7,対象：男女,100,17,105,17,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ng,ng
2716,ふれ愛温泉矢田,2,1,対象：男女,90,16,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
2717,ドーミーイン倉敷,0,5,対象：男女,92,-,100,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
2718,玉乃湯,1,1,男性専用,87,15,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
2719,中央温泉,1,1,対象：男女,90,-,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
2720,伊良湖シーパーク&スパ,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2721,新柏原温泉,1,3,対象：男女,96,-,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
2722,源泉かけ流し トキワ温泉,3,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2723,新マネキ温泉,0,2,対象：男女,80,-,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,ng
2724,コナミスポーツクラブ天理,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2725,コナミスポーツクラブ西大和,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2726,"松原天然温泉 you,ゆ～",2,12,対象：男女,100,-,65,-,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
2727,奥本温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2728,清水温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2729,金岡温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2730,蔵前温泉さらさのゆ,2,18,対象：男女,82,16,84,17,ng,ok,ng,ok,ok,ng,ok,ng,ng,ok,ok,ng
2731,ヘルシーバス ごくらく温泉,6,18,対象：男女,90,18,50,17,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
2732,湊潮湯,2,1,対象：男女,110,17,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
2733,やすらぎの湯,0,1,男性専用,80,21,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
2734,虹の湯 西大和店,1,32,対象：男女,82,17,80,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
2735,亀の湯,1,4,対象：男女,83,17.4,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
2736,天然温泉 華の湯,1,1,対象：男女,82,20,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
2737,火の谷温泉 美杉リゾート ファイアバレイコテージ,1,0,対象：男女,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2738,のびやか健康館,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2739,コナミスポーツクラブなかもず,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2740,初芝温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2741,天然温泉千寿の湯,0,0,対象：男女,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2742,岡山市ウェルポートなださき,0,0,男性専用,90,23,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
2743,かしば屯鶴峯温泉,0,2,対象：男女,68,22,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
2744,東浦サンパーク,1,1,対象：男女,?,?,100,16,-,-,-,-,-,ng,ng,ng,ok,ng,ng,-
2745,虹の湯 大阪狭山店,2,6,対象：男女,80,18.6,?,?,ng,ok,ng,ok,ok,ok,-,-,-,-,-,-
2746,曽爾高原温泉 お亀の湯,3,4,対象：男女,90,15,88,15,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
2747,満天の湯,0,1,対象：男女,70,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
2748,リゾートホテルオリビアン小豆島,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2749,松阪温泉熊野の郷,2,4,対象：男女,90,18,85,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
2750,コナミスポーツクラブ大和八木,0,25,対象：男女,?,?,86,19,-,-,-,-,-,ng,ng,ng,ng,ng,ok,-
2751,姫石の湯,1,0,対象：男女,-,-,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
2752,尾道ふれあいの里,2,13,対象：男女,90,18,90,18,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
2753,伊勢市役所 離宮の湯,1,1,対象：男女,90,-,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
2754,白竜湖リゾート,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2755,小栗の湯,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2756,伊勢・船江温泉 みたすの湯,2,11,対象：男女,96,16.3,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
2757,橿原ぽかぽか温泉,1,19,対象：男女,92,18,86,17.3,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
2758,ケイエスビー弥生の里温泉,0,0,対象：男女,-,-,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
2759,日本海温泉・鹿島の湯(道の駅阿武町),1,1,対象：男女,82,20.1,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
2760,フィットネスクラブ コ・ス・パ 金剛,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2761,女鹿平温泉クヴェーレ吉和,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
