,サウナ名,イキタイ,サ活,target,男サウナ,男水風呂,女サウナ,女水風呂,男ロウリュ,男オート,男セルフ,男外気浴,男休憩,男イオン,女ロウリュ,女オート,女セルフ,女外気浴,女休憩,女イオン
4375,いこいの村 いわて,1,0,対象：男女,90,20,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
4376,つなぎ温泉 ホテル紫苑,1,0,対象：男女,94,20,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
4379,ホテルシーガリアマリン,0,0,対象：男女,90,20,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
4380,花巻温泉 ホテル花巻,2,1,対象：男女,90,15,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
4383,おらほの温泉,0,0,対象：男女,90,20,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
4384,彩の森カントリークラブ・ホテル秩父,0,1,対象：男女,94,18,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4385,国民宿舎 サンホテル衣川荘,1,0,対象：男女,92,20,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
4386,花びしホテル,4,1,対象：男女,92,4,88,4,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ng,ng
4389,飛雪の滝キャンプ場,66,29,対象：男女,80,6,?,?,ng,ng,ok,ok,ok,ng,-,-,-,-,-,ng
4390,平和湯,0,5,対象：男女,90,14,89,25,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
4391,Smart Stay SHIZUKU 京都駅前,1,5,対象：男女,98,19,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
4396,ホテルエルシエント京都(旧:エルイン京都),1,4,対象：男女,90,18,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4399,はらら温泉,0,1,対象：男女,80,22,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4401,帝国ホテル東京,9,3,対象：男女,90,20,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4402,たかの湯,5,25,対象：男女,90,19,89,18,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
4403,ギャバン ホテル,1,3,対象：男女,80,20,?,?,ng,ng,ok,ng,ok,ng,-,-,-,-,-,-
4404,松の湯,3,5,対象：男女,87,20,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
4405,さか井湯,4,3,対象：男女,54,23,48,18,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
4408,アゼリア21,0,1,対象：男女,90,15,?,?,ng,ng,ng,ng,ok,ok,-,-,-,-,-,-
4409,アパホテル 大阪天満,0,8,対象：男女,92,21,-,-,ng,ng,ng,ok,ng,ng,ng,ng,ng,ng,ng,ng
4412,唐津シーサイドホテル,0,1,対象：男女,102,20,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
4413,呼子 台場の湯,0,2,対象：男女,89,16,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4415,塩原ファミリー牧場りんどうの湯,2,2,対象：男女,100,13,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
4416,東北温泉,2,2,対象：男女,80,18,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
4417,箱根小涌谷温泉 水の音,0,6,対象：男女,94,17,100,10,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ng,ng
4420,初音湯,1,5,対象：男女,96,20,102,20,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
4421,つるが丘温泉,0,2,対象：男女,92,17,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
4422,サガシティホテル,0,1,男性専用,50,22,?,?,ng,ng,ng,ng,ng,ok,-,-,-,-,-,-
4423,かんぽの宿 日南,0,3,対象：男女,79,17,?,?,ng,ok,ng,ok,ok,ng,-,-,-,-,-,-
4427,プレミアホテル-CABIN-帯広(旧 天然温泉ホテルパコ帯広),1,25,対象：男女,85,19,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
4428,リネツ金沢,3,9,対象：男女,90,28.7,90,28.2,ng,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok
4430,日比津温泉,4,4,対象：男女,95,17,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4431,ホテル クレッセント旭川 (スカイスパ 「シルフクラブ」),3,4,対象：男女,106,16,90,16,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng
4432,魚津マンテンホテル駅前,0,0,対象：男女,95,19,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
4433,HOTEL MYSTAYS PREMIER Narita,1,1,対象：男女,88,20,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
