サウナ名,イキタイ,サ活,target,男サウナ,男水風呂,女サウナ,女水風呂,男ロウリュ,男オート,男セルフ,男外気浴,男休憩,男イオン,女ロウリュ,女オート,女セルフ,女外気浴,女休憩,女イオン
ピアッツァ5岬町健康ふれあいセンター,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
湯元さぬき瀬戸大橋温泉 せとうちそう,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
瀬戸大橋四国健康村,12,18,対象：男女,92,15,?,?,ok,ok,ng,ok,ok,ng,-,-,-,-,-,-
天然温泉 ゆの里,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
城山温泉,0,1,対象：男女,92,-,?,?,ng,ng,ng,ng,ok,ok,-,-,-,-,-,-
安芸グランドホテル,0,2,対象：男女,90,-,80,-,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
大江戸温泉物語 伊勢志摩,0,0,対象：男女,-,-,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
かつらぎ温泉 八風の湯,3,4,対象：男女,83,20,?,?,ok,ng,ng,ok,ng,ng,-,-,-,-,-,-
秋吉台リフレッシュパーク 景清洞トロン温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
天然温泉きらら,2,12,対象：男女,78,17,80,18,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
湯多里ランドつしま,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
クアタラソさぬき津田,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ホテル近鉄アクアヴィラ伊勢志摩,0,1,対象：男女,90,19,94,19,ng,ng,ng,ok,ok,-,ng,ng,ng,ok,ng,-
春日温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
南あわじクア施設さんゆー館,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ベッセルおおちの湯,1,1,対象：男女,95,18,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
はくちょう温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
宮浜べにまんさくの湯,0,2,対象：男女,75,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
トレスタ白山,0,1,対象：男女,92,23,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
しまなみドーム,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
幸の湯,0,1,対象：-,85,20,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
対馬グランドホテル,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
川辺の湯安庵,0,2,対象：男女,90,14,-,18,ng,ng,ng,ok,ok,ng,-,-,-,-,-,ng
ゆーとぴあみろく温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
インランド・シー・リゾート フェスパ,1,4,対象：男女,90,15,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
天然温泉あ・くあ,0,1,対象：男女,98,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
南淡路ロイヤルホテル,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
から風呂,39,6,対象：男女,-,-,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,ng
南あわじリフレッシュ交流ハウスゆーぷる,1,0,男性専用,88,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
菰隠温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
マーレ・グラッシア大三島,5,3,対象：男女,90,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
天然温泉 香南楽湯,5,10,対象：男女,92,16,90,16,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
於福温泉(道の駅おふく),1,1,対象：男女,-,20,-,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
ふくろうの湯,1,6,対象：男女,88,18,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
カメリア温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
天然温泉紀州の湯ドーミーインPREMIUM和歌山,2,3,対象：男女,94,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
花山温泉 薬師の湯,1,2,対象：男女,84,18,85,18,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
ホテルニューアワジ プラザ淡路島,0,3,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
天然いやだに温泉大師の湯,0,0,対象：男女,90,19,?,?,ng,ok,ng,ok,ok,-,-,-,-,-,-,-
シーサイド温泉のうみ,0,1,対象：男女,92,20,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
ルネッサンスリゾート ナルト,0,1,対象：-,88,-,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
翼山温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
福智院,0,1,対象：男女,?,?,70,-,-,-,-,-,-,ng,ng,ng,ok,ok,ng,-
アイランドゴルフガーデン美和,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
あやうた温泉 湯舟道,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
スーパー銭湯ユーバス和歌山店,0,3,対象：男女,88,18,80,18,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
西ノ市温泉 蛍の湯(2019年10月頃～2020年5月頃まで休業予定),2,1,対象：-,90,21,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
みずはの湯,0,0,男性専用,80,-,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
たかせ天然温泉,0,1,対象：男女,80,16,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
白鳥温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
湯元こんぴら温泉華の湯 紅梅亭,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
