サウナ名,イキタイ,サ活,target,男サウナ,男水風呂,女サウナ,女水風呂,男ロウリュ,男オート,男セルフ,男外気浴,男休憩,男イオン,女ロウリュ,女オート,女セルフ,女外気浴,女休憩,女イオン
幕岩温泉ホテル志賀サンバレー,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
太閤の湯,1,2,対象：男女,90,20,?,?,ok,ng,ng,ok,ok,-,-,-,-,-,-,-
光明石温泉 呉羽の湯,1,0,対象：男女,92,17,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
烏山城温泉,0,3,対象：男女,90,18,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
ぽんぽこの湯,4,8,対象：男女,106,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
豊野温泉りんごの湯,2,3,対象：男女,84,-,80,-,ng,ng,ng,ok,ok,ok,ng,ng,ng,ng,ng,ok
白馬樅の木ホテル Hakuba Mominoki Hotel,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
天然温泉サウナ スパックス,2,3,対象：男女,90,17,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
光明石温泉 福岡の湯,5,45,男性専用,90,16,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
白馬東急ホテル,1,0,対象：男女,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ぽかぽかランド,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
いなり鉱泉,0,3,対象：男女,75,16,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
ローゼンハイム白馬,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
アルプスの湯,1,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
イーストウッドカントリークラブ,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
藤の湯,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
白馬姫川温泉 天神の湯,0,1,対象：男女,86,-,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
ドーミーイン富山,1,5,対象：男女,96,16,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
天然温泉 富山 剱の湯 御宿 野乃,0,5,女性専用,97,17,100,15,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
舟橋・立山天然温泉 湯めごこち,9,9,対象：男女,80,18.2,?,?,ok,ng,ng,ok,ok,ng,-,-,-,-,-,-
おぶせ温泉あけびの湯,0,3,対象：男女,88,-,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
ほたるの里 梵天の湯,4,6,対象：男女,96,15,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
島倉乃湯,0,0,対象：男女,92,18.9,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
ふるさとセンター竜っちゃん乃湯,0,1,対象：男女,90,18,90,18,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
ファミリー温泉ひらき,0,1,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
奥平温泉 遊神館,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
仙郷,1,0,対象：男女,94,14,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
スパ・アルプス,167,143,対象：男女,90,16.3,88,15,ok,ok,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
朝日湯,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
初穂カントリークラブ,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
やまがたすこやかランド三太の湯,0,1,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
吟松亭あわしま,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
源泉湯の宿 紫翠亭,0,0,対象：男女,80,-,80,-,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
ひかりランド,1,0,対象：-,80,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
マイプラザぷ楽座ゆ,1,0,対象：男女,105,17,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
大金温泉グランドホテル,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
鵜来来の湯十王,9,5,男性専用,110,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
展望温泉 ほのぼの湯,0,1,男性専用,86,23,?,?,ng,ng,ng,ng,ok,-,-,-,-,-,-,-
望郷の湯,1,4,対象：男女,94,13,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
まちなか天然温泉 ゆくりえ,0,3,対象：男女,92,16.8,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,ng
かんぽの宿 富山,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
おやべ温泉タワーの湯,0,0,対象：男女,-,-,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
天然温泉善光の湯ドーミーイン長野,6,14,対象：男女,96,18,95,17,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
スパリゾート ゆにーいく,0,2,対象：男女,-,15,86,-,ng,ng,ng,ng,ng,ng,ng,ng,ng,ok,ok,ng
南郷温泉 しゃくなげの湯,5,2,対象：男女,92,17,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
となみのゆ,3,3,対象：男女,87,15,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
草津ナウリゾートホテル,2,0,男性専用,100,13,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
辰尾鉱泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
美和温泉ささの湯,0,1,対象：男女,102,-,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
伊東園ホテル草津,0,0,男性専用,92,10,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
アルペンローゼ,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
綿の湯 草津ホテル別館,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
大滝乃湯,58,41,対象：男女,102,15,92,14,ng,ng,ng,ok,ok,-,ng,ng,ng,ok,ok,-
草津温泉館,0,0,対象：男女,75,-,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
高山温泉 ふれあいプラザ,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
つつじ亭,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
湯宿 季の庭,3,2,対象：-,90,17,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
お宿 木の葉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
砺波ロイヤルホテル,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
グリーンパーク吉峰ゆ～ランド,0,1,対象：-,90,14.2,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
日立市ホリゾンかみね,1,23,対象：男女,98,18,95,20,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ng,ng
レイクランドカントリークラブ,0,1,男性専用,101,20,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
ぽかぽかランド美麻,3,5,対象：男女,95,18.4,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
大室温泉 まきばの湯,0,1,対象：男女,59,-,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
中尾山温泉 松仙閣,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
諸江の湯,0,1,対象：男女,85,20,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
スーパー銭湯広徳の湯,2,6,対象：男女,90,18,80,17,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
極楽湯 宇都宮店,4,44,対象：男女,90,16.2,80,17,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
金城温泉元湯,4,4,対象：男女,98,20,90,-,ng,ng,ng,ng,ng,ng,ng,ng,ng,ok,ng,ng
牛岳温泉健康センター,1,0,対象：男女,80,-,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
ホテル森の風立山,0,0,対象：-,87,-,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
天然温泉加賀の湯ドーミーイン金沢,9,38,対象：男女,94,16,84,16,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
梅の湯,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
都市型サウナ「エキスパ」(アパ金沢駅前),15,32,対象：男女,100,18,94,-,ng,ng,ng,ok,ng,ng,ng,ng,ng,ng,ng,ng
大和温泉,3,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
川合田温泉 サウナ部,11,14,対象：男女,100,18,90,13,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ok,ng
ロイヤルホテル長野,0,1,男性専用,80,22,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
八尾ゆめの森ゆうゆう館,2,1,対象：男女,95,19.8,90,18,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
鳥越の宿 三楽園,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
御前山温泉四季彩館,0,2,男性専用,95,19,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
金沢白鳥路 ホテル 山楽,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
スパ&ゴルフリゾート久慈「松ヶ沢温泉」,5,1,男性専用,90,-,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
富山の奥座敷 亀谷温泉 薬師岳の湯 白樺ハイツ,0,1,対象：男女,75,17,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
ザ・グランドスパ南大門,137,241,対象：男女,105,15.8,46,26,ok,ng,ng,ok,ok,ng,ok,ng,ng,ok,ok,ng
おまき温泉スパガーデン和園,63,60,対象：男女,92,15,104,15,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
神通峡春日温泉 ゆ〜とりあ越中,0,1,男性専用,90,15,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
ウィンディ,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
リバーリトリート雅樂倶,1,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
天然温泉 サウナ片町,17,48,対象：男女,80,20,90,16,ng,ng,ok,ok,ng,ng,ng,ng,ng,ok,ng,ng
小野上温泉 さちのゆ,1,3,対象：男女,95,16.5,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
ホテルフォレストイン金沢,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ヘルシーバス268,1,1,対象：男女,94,20,?,?,ng,ng,ng,ng,ng,ok,-,-,-,-,-,-
国民宿舎サンレイク草木,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
道の駅はが ロマンの湯,2,9,対象：男女,110,20,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
ぽかぽか御経塚の湯/金沢五彩ICEPOP,2,3,対象：男女,85,-,85,18,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
湯楽の里 日立店,5,27,対象：男女,85,18,80,-,ng,ok,ng,ok,ok,ng,ng,ng,ng,ng,ng,ng
楽今日館,1,2,対象：男女,100,19,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
宇都宮天然温泉ゆらら,2,45,対象：男女,92,14,89,-,ok,ng,ng,ok,ok,ng,ok,ng,ng,ok,ok,ng
ゆ～ぷる木崎湖,0,2,対象：男女,92,16,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
スーパー銭湯コール宇都宮の湯,3,34,対象：男女,90,16.2,90,16.5,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
山田屋温泉旅館,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
楽ちんの湯,3,24,対象：男女,91,17,84,17.5,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
C.C.Z 松任海浜温泉,1,4,対象：男女,92,17,-,-,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ok,ng
極楽湯 金沢野々市店,6,5,対象：男女,91,17.3,90,17.9,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
ユートピア赤城,0,0,男性専用,90,20,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
もくじき荘,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
Alpine Route Hotel アルペンルートホテル,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
黒部観光ホテル,2,2,対象：男女,86,10,82,10,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
薬師の湯 (アルプス温泉博物館),0,0,男性専用,92,27,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
ゆ～ゆうランド・花椿,1,2,対象：-,90,15,?,?,ok,ng,ng,ok,ok,ng,-,-,-,-,-,-
ここえかん(心笑館),1,2,対象：男女,96,-,100,16,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
さざなみ,0,1,対象：男女,90,-,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
地蔵温泉十福の湯,3,8,対象：男女,87,17,84,20,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
伊香保温泉 温泉宿 塚越屋七兵衛,0,1,対象：男女,90,-,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
伊香保グランドホテル 黄金の湯館,0,3,対象：男女,94,-,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
遊山の里 とどろき,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
千明仁泉亭,0,0,対象：男女,90,-,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
和心の宿オーモリ,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
福光温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
美川温泉 やすまる(安産)の湯,3,2,対象：男女,110,16,89,17,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
浅の川温泉 湯楽,7,9,対象：男女,100,14,90,14,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng,ng
明日香荘,0,1,対象：男女,97,18,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
真岡井頭温泉,1,2,対象：-,96,18,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,ok
美川温泉元湯ほんだ,1,1,対象：男女,100,17,88,-,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
湯のさと ちくま 白鳥園,2,12,対象：男女,84,16,85,15,ok,ng,ng,ok,ok,ng,ok,ng,ng,ok,ok,ng
湯の宿 福寿草,0,2,男性専用,80,-,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
榛名湖温泉ゆうすげ元湯,1,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ホテル清風園,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
戸倉上山田温泉 湯元 上山田ホテル,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ホテルグリーンプラザ軽井沢 暁の湯,0,1,対象：男女,95,-,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
川北町役場 ふれあい健康センター,3,10,対象：男女,100,15,85,15,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ok,ng
富士見温泉見晴らしの湯ふれあい館,3,1,対象：男女,68,19,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
ホテル軽井沢1130(イレブンサーティー),0,2,対象：男女,80,20,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
北橘温泉ばんどうの湯,8,30,対象：男女,106,21,91,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
平ふれあい温泉センター・ゆー楽,8,6,対象：男女,90,17,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
坂北荘,0,1,対象：男女,96,22,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
萬葉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
辰口温泉 総湯 里山の湯,0,2,対象：男女,90,18,88,18,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
びんぐし湯さん館,10,12,対象：男女,96,17,86,16,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
リバートピア吉岡,0,1,対象：男女,90,20,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
オリムピック・スタッフ都賀ゴルフコース,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
城里町健康増進施設 ホロルの湯,0,3,対象：男女,93,19,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
前橋温泉クア・イ・テルメ,0,2,対象：男女,94,17,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
粕川温泉元気ランド,1,1,対象：男女,62,23,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
天竺温泉の郷,1,1,対象：男女,90,23,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
前橋荻窪温泉 あいのやまの湯,2,1,対象：男女,75,23,80,21,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
泉龍温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
萬歳湯,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
西条温泉とくら,0,1,対象：男女,88,-,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
宮川温泉おんり～湯,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
五箇山温泉 五箇山荘,0,1,対象：男女,96,-,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
室賀温泉ささらの湯,3,8,対象：男女,85,15,87,-,ng,ng,ng,ok,ng,ok,ng,ng,ng,ok,ng,ok
勝田あかつきの湯,0,7,対象：男女,90,17,85,13,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
しなの木温泉 日帰り温泉 ひな詩の湯,0,7,対象：男女,85,26,?,?,ng,ok,ng,ok,ok,ng,-,-,-,-,-,-
くろば温泉,1,5,男性専用,92,-,90,17,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ok,ng
アパホテル〈小松グランド〉アパスパ,1,33,対象：男女,96,20,94,22,ng,ng,ng,ok,ng,ng,ng,ng,ng,ng,ng,ng
栃木温泉 湯楽の里,11,42,対象：男女,85,18,?,?,ok,ok,ng,ok,ok,ng,-,-,-,-,-,-
ひたちなか温泉 喜楽里別邸,12,24,対象：男女,92,16,85,15,ng,ok,ng,ok,ok,ng,ng,ok,ng,ok,ok,ng
湯楽里館物産センター,1,9,対象：男女,98,17,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
箕郷温泉まねきの湯,3,2,対象：男女,92,18,?,?,ok,ng,ng,ok,ok,ng,-,-,-,-,-,-
阿字ヶ浦 温泉のぞみ,3,4,対象：男女,80,18,45,17,ng,ng,ng,ok,ng,ng,ng,ng,ng,ng,ng,ng
極楽湯 水戸店,2,9,対象：男女,88,16.8,90,16.7,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
今江温泉元湯,0,2,対象：男女,102,21,102,20,ng,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok
いちの湯 水戸店,1,4,対象：男女,88,16.6,82,16.8,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
高崎中尾温泉 天神の湯,4,8,対象：男女,87,20,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
上増田温泉 砦乃湯,1,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ホテル テラス ザ ガーデン水戸,0,0,男性専用,90,-,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
軽井沢千ケ滝温泉,0,6,対象：男女,62,15,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
つつじヶ丘カントリー倶楽部,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ホテルふせじま,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
星野温泉 トンボの湯,98,107,対象：男女,82,12,82,13,ng,ok,ng,ok,ok,ng,ng,ok,ng,ok,ok,ng
ホテルアローレ,0,3,対象：男女,94,20,-,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
太田双葉カントリークラブ,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ゆぅふるtanaka,0,1,対象：-,94,-,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
リブマックスリゾート軽井沢,0,0,対象：男女,?,?,60,-,-,-,-,-,-,ng,ng,ng,ok,ok,ng,-
マウントビューホテル 朝日館,1,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
玉屋旅館,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
レーサムゴルフ&スパリゾート,1,1,対象：男女,94,15,?,?,ng,ng,ok,ok,ok,ng,-,-,-,-,-,-
ゆららの湯,1,5,対象：-,90,17.5,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
あづみ野ランド,1,1,対象：男女,100,10,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
大江戸温泉物語 ながやま,0,3,男性専用,93,25,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
天然温泉伊勢崎ゆまーる,4,24,対象：男女,98,20,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
小山思川温泉,16,25,対象：男女,96,17,80,-,ng,ok,ng,ok,ok,ng,ng,ok,ng,ok,ok,ng
御牧乃湯,1,1,対象：男女,78,20,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
足利健康センター,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
大洗鴎松亭,3,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
足利 鹿島園温泉,8,5,対象：男女,90,20,?,?,ng,ng,ng,ng,ok,-,-,-,-,-,-,-
里山健康学校せせらぎの郷,0,1,対象：男女,?,?,70,18,-,-,-,-,-,ng,ng,ng,ok,ok,ng,-
コナミスポーツクラブ高崎,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
法師,0,0,対象：男女,80,20,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
湯快リゾート あわづグランドホテル別館,1,2,男性専用,92,2,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
旅亭懐石のとや,0,2,対象：-,70,-,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
小諸グランドキャッスルホテル,0,1,男性専用,80,17,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
辻のや花乃庄,0,2,男性専用,90,18,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
あぐりの湯こもろ,2,14,対象：男女,96,13,70,19,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
加賀ゆめのゆ,3,75,対象：男女,88,17,85,17,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
ドーミーイン高崎 榛名の湯,2,7,対象：男女,95,16,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
天然温泉湯楽部,11,18,対象：男女,79,16.3,80,16.4,ng,ok,ng,ok,ng,ng,ng,ok,ng,ok,ok,ng
アパホテル〈高崎駅前〉,0,2,対象：男女,90,20,92,20,ng,ng,ng,ok,ng,ng,ng,ng,ng,ng,ng,ng
ゆっくら健康館,1,4,対象：男女,90,22,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
穂高ビューホテル,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ほりでーゆー四季の郷,2,4,対象：男女,92,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
恵みの湯,1,3,対象：男女,82,25,?,?,ng,ok,ng,ok,ok,ng,-,-,-,-,-,-
舌切雀のお宿 ホテル磯部ガーデン,0,1,男性専用,88,12,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
ユーランド新田,2,1,男性専用,84,20,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
妙義ふれあいプラザ もみじの湯,0,5,対象：男女,90,19,86,17,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
潮騒の湯,11,16,対象：男女,92,17,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
公営 筑西遊湯館,3,0,対象：男女,90,19,?,?,ng,ng,ng,ng,ng,-,-,-,-,-,-,-
山代温泉 ゆのくに天祥,0,1,対象：男女,?,?,-,19,-,-,-,-,-,ng,ng,ng,ng,ng,ng,-
サウナサバス,8,12,対象：男女,108,17,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
安眠の湯,1,3,対象：-,86,17,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
リブマックスリゾート加賀山代,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
葉渡莉,0,1,対象：男女,98,-,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
雄山閣,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
べにや無何有,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
武石温泉 うつくしの湯,1,3,対象：男女,90,16,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,ng
湯の宿 白山菖蒲亭 Hakusanshoubutei,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
アクアホテル 佐久平駅前店,0,1,対象：男女,96,-,78,-,ng,ng,ng,ok,ok,-,ng,ng,ng,ok,ok,-
平尾温泉 みはらしの湯,5,10,対象：男女,98,14,90,18,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
源泉 湯乃庵,5,8,対象：男女,85,25,?,?,ok,ng,ng,ok,ok,ng,-,-,-,-,-,-
長門温泉やすらぎの湯,2,52,対象：男女,90,16,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
別所温泉,0,1,男性専用,110,21,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
白山癒しの湯 天領,1,2,対象：男女,90,18,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
枇杷の湯,11,11,対象：男女,100,20,108,15,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
ホットプラザ浅間,3,3,対象：男女,90,19,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
穂高荘 山のホテル,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
星野リゾート 界 松本,1,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ホテル玉の湯,0,0,対象：男女,86,-,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
